epoch,ema_acc,test/ca_acc
0,None,0.5
0,0.4459738460772916,0.475
1,0.4701449346697446,0.6
2,0.41695556989988664,0.525
3,0.582821437137591,0.525
4,0.5577584381475102,0.525
5,0.6057880859006196,0.5
6,0.6420730166512277,0.55
7,0.7487059114130354,0.6
8,0.7980931736358051,0.55
9,0.826037833683023,0.525
10,0.7828045948189153,0.525
11,0.8637017546822727,0.575
12,0.9073050271893743,0.575
13,0.9199135471469426,0.6
14,0.9397439718724636,0.575
15,0.8904091669614009,0.575
16,0.937516939489075,0.525
17,0.9601329392536473,0.575
18,0.9459856275803532,0.6
19,0.9382139996924688,0.55
20,0.9690140920148758,0.6
